id,title,description,mediaUrl,memoryObject,location,visualCue,updatedAt,strength,repetitions,lastReviewed
814,Iterative Solutions of Nonlinear Equations,Teaches numerical methods for solving nonlinear equations using Excel Solver. Students learn iterative techniques to find unknown variables in engineering calculations.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide2.jpg,Table_Apt_01,,,,,,
815,Manometry,Explains pressure measurement using manometers. Students learn to analyze U-tube and multi-fluid manometer configurations to determine pressure differences in fluid systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide3.jpg,BathTub,,,,,,
816,Material Balances,Covers steady-state material balances for chemical processes. Students learn to set up and solve mass balance equations for single and multi-unit systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide4.jpg,Lamp_Apt_01,,,,,,
817,Degrees of Freedom,Introduces degrees of freedom analysis for process systems. Students learn to determine whether a system is fully specified under-specified or over-specified before solving.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide5.jpg,door_001 (3),,,,,,
818,Recycle Mass Balances,Covers material balances for processes with recycle streams. Students learn to identify and solve balance equations around recycle loops in chemical processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide6.jpg,Trash_apt_01,,,,,,
819,Chemical Reactions,Explains stoichiometry and extent of reaction concepts. Students learn to write balanced equations and apply stoichiometric relationships in material balance problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide7.jpg,BlenderContainer,,,,,,
820,Reactive Material Balances,Covers material balances for systems involving chemical reactions. Students learn to account for generation and consumption of species in reactive process balances.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide8.jpg,CoffeeMaker_Apt_01,,,,,,
821,Purge Stream in a System with Recycle,Explains material balances for processes with a purge stream and recycle. Students learn to determine purge flow rates to prevent inert accumulation in recycle systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide9.jpg,Cabinet_Base_Sink_01,,,,,,
822,Material Balances on Transient Processes,Covers unsteady-state material balances. Students learn to derive and solve differential equations describing time-varying mass accumulation in process systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide10.jpg,Sculpture_apt_02_01,,,,,,
823,Wet and Dry Basis,Explains wet basis and dry basis composition measurements. Students learn to convert between these bases for streams containing moisture commonly used in combustion and drying.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide11.jpg,SinkTop,,,,,,
824,Combustion Reactions,Covers material balances for combustion reactions. Students learn to calculate flue gas compositions air-to-fuel ratios and percent excess air for combustion processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide12.jpg,Stove_Top,,,,,,
825,Ideal Gas Law,Introduces the ideal gas law and its applications. Students learn to use PV=nRT to relate pressure volume temperature and moles for ideal gas systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide13.jpg,Range_Hood,,,,,,
826,Equations of State,Covers cubic equations of state such as van der Waals Redlich-Kwong and Peng-Robinson. Students learn to calculate PVT properties of real gases and liquids.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide14.jpg,Sculpture_apt_01_04,,,,,,
827,Lever Rule,Explains the lever rule for determining phase compositions and fractions. Students learn to read two-phase regions on phase diagrams and calculate vapor and liquid fractions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide15.jpg,GlassWall_01,,,,,,
828,Single-Component Phase Equilibrium,Covers phase diagrams and equilibrium conditions for a single component. Students learn to identify phases and locate triple and critical points.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide16.jpg,Bench_Apt_01 (1),,,,,,
829,Clapeyron Clausius-Clapeyron and Antoine Equations,Explains the Clapeyron Clausius-Clapeyron and Antoine equations for vapor pressure. Students learn to estimate vapor pressure as a function of temperature.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide17.jpg,Screen,,,,,,
830,Raoults Law and VLE,Covers vapor-liquid equilibrium using Raoults Law for ideal mixtures. Students learn to construct Pxy and Txy diagrams and solve bubble and dew point problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide18.jpg,Speaker Sub (1),,,,,,
831,Solids in Solution and Colligative Properties,Explains behavior of solids dissolved in liquids and colligative properties. Students learn about boiling point elevation freezing point depression and osmotic pressure.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide19.jpg,Plate_Apt_02_Stacked,,,,,,
832,Ternary Phase Diagrams,Covers three-component phase diagrams for liquid-liquid and liquid-solid systems. Students learn to read ternary diagrams and determine compositions in multi-phase regions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide20.jpg,Oven_Grate_01,,,,,,
833,Water-Air VLE and Psychrometric Chart,Covers vapor-liquid equilibrium for water-air mixtures and the psychrometric chart. Students learn to determine humidity dew point and enthalpy of moist air streams.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide21.jpg,Toilet_Apt_01,,,,,,
834,Adsorption,Explains adsorption of gases and liquids onto solid surfaces. Students learn Langmuir and Freundlich isotherm models and their application in separation processes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide22.jpg,Wall_Mirror_01,,,,,,
835,State Functions,Introduces state functions and path-independent thermodynamic properties. Students learn to distinguish state functions from path functions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide23.jpg,Chess_Board_Base,,,,,,
836,Steam Tables,Covers the use of steam tables to find thermodynamic properties of water. Students learn to read saturated and superheated steam tables for enthalpy entropy and specific volume.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide24.jpg,KeyBoard_Apt_01,,,,,,
837,Mechanical Energy Balance,Covers the mechanical energy balance including the Bernoulli equation with friction. Students learn to apply it to piping systems with pumps turbines and frictional losses.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide25.jpg,Mech_apt_01,,,,,,
838,Heat Capacities,Explains heat capacities for gases liquids and solids. Students learn to use heat capacity correlations to calculate enthalpy and internal energy changes.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide26.jpg,Lamp_Table_Apt_02,,,,,,
839,Energy Balances with Phase Changes,Covers energy balances for processes involving phase changes. Students learn to account for latent heats of vaporization and fusion in enthalpy calculations.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide27.jpg,Glow.002,,,,,,
840,Flash Separations,Explains flash drum calculations for vapor-liquid separation. Students learn to solve Rachford-Rice equations to find vapor fraction and equilibrium compositions.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide28.jpg,Lamp_Ceiling_Apt_02,,,,,,
841,Heats of Reaction,Covers standard heats of reaction and Hess's Law. Students learn to calculate reaction enthalpies using heats of formation and apply them to reactor energy balances.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide29.jpg,Lamp_Floor_Apt_02,,,,,,
842,Energy Balances with Reaction,Covers energy balances for reactors with chemical reactions. Students learn to account for heat of reaction alongside sensible heat changes in reactive systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide30.jpg,Shade.001,,,,,,
843,Adiabatic Flame Temperature,Explains adiabatic flame temperature calculations for combustion. Students learn to find the maximum temperature reached when a fuel burns with no heat loss.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide31.jpg,Lamp_Table_Apt_01,,,,,,
844,Introduction to First Law Closed Systems,Introduces the first law of thermodynamics for closed systems. Students learn to apply energy conservation to piston-cylinder and rigid-vessel problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide32.jpg,wine bottle 04_Low Poly,,,,,,
845,Buoyancy,Covers buoyancy forces on submerged and floating objects. Students learn to apply Archimedes principle to determine buoyant force and object equilibrium in fluids.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide33.jpg,wine thin glass,,,,,,
846,Properties of Fluids,Explains key physical properties of fluids including density viscosity and surface tension. Students learn to identify and use these properties in fluid mechanics problems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide34.jpg,wine thin glass White Wine (1),,,,,,
847,Hydrostatic Pressure,Covers pressure variation in static fluids. Students learn to apply the hydrostatic equation to calculate pressures at various depths in liquid systems.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide35.jpg,wine thin glass White Wine,,,,,,
848,Submerged Gates,Explains forces and moments on submerged flat gates and surfaces. Students learn to find the resultant hydrostatic force and its point of application.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide36.jpg,door_001 (2),,,,,,
849,Bernoullis Equation,Covers Bernoullis equation for frictionless flow. Students learn to apply energy conservation along a streamline to relate pressure velocity and elevation in fluid flow.,https://raw.githubusercontent.com/Aadityaamlan-Panda/CSE-Topics/main/ChemE_Enhanced/Slide37.jpg,Shower_Head_01,,,,,,
