title,description,mediaUrl,memoryObject,location,visualCue
Units Dimensional Analysis and Conversion Factors,Covers unit systems and dimensional analysis. Students learn to verify equation consistency and convert quantities across different measurement systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/units-dimensional-analysis-and-conversion-factors/units-dimensional-analysis-and-conversion-factors-introduction/,,,
Correlations,Introduces empirical correlations used in chemical engineering. Students learn to apply and evaluate fitted equations that relate process variables from experimental data.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/correlations/correlations-introduction/,,,
Iterative Solutions of Nonlinear Equations,Teaches numerical methods for solving nonlinear equations using Excel Solver. Students learn iterative techniques to find unknown variables in engineering calculations.,https://learncheme.com/quiz-yourself/interactive-modules/iterative-solutions-of-nonlinear-equations-using-excel-solver/iterative-solutions-of-nonlinear-equations-using-excel-solver-introduction/,,,
Manometry,Explains pressure measurement using manometers. Students learn to analyze U-tube and multi-fluid manometer configurations to determine pressure differences in fluid systems.,https://learncheme.com/quiz-yourself/interactive-modules/manometry/manometry-self-study-module/,,,
Material Balances,Covers steady-state material balances for chemical processes. Students learn to set up and solve mass balance equations for single and multi-unit systems.,https://learncheme.com/quiz-yourself/interactive-modules/material-balances/material-balances-introduction/,,,
Degrees of Freedom,Introduces degrees of freedom analysis for process systems. Students learn to determine whether a system is fully specified under-specified or over-specified before solving.,https://learncheme.com/quiz-yourself/interactive-modules/degrees-of-freedom/degrees-of-freedom-introduction/,,,
Recycle Mass Balances,Covers material balances for processes with recycle streams. Students learn to identify and solve balance equations around recycle loops in chemical processes.,https://learncheme.com/quiz-yourself/interactive-modules/recycle-mass-balances/recycle-mass-balances-introduction/,,,
Chemical Reactions,Explains stoichiometry and extent of reaction concepts. Students learn to write balanced equations and apply stoichiometric relationships in material balance problems.,https://learncheme.com/quiz-yourself/interactive-modules/chemical-reactions/chemical-reactions-introduction/,,,
Reactive Material Balances,Covers material balances for systems involving chemical reactions. Students learn to account for generation and consumption of species in reactive process balances.,https://learncheme.com/quiz-yourself/interactive-modules/reactive-mass-balances/reactive-mass-balances-introduction/,,,
Purge Stream in a System with Recycle,Explains material balances for processes with a purge stream and recycle. Students learn to determine purge flow rates to prevent inert accumulation in recycle systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/purge-stream-in-a-system-with-recycle/purge-stream-in-a-system-with-recycle-introduction/,,,
Material Balances on Transient Processes,Covers unsteady-state material balances. Students learn to derive and solve differential equations describing time-varying mass accumulation in process systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/material-balances-on-transient-processes/material-balances-on-transient-processes-introduction/,,,
Wet and Dry Basis,Explains wet basis and dry basis composition measurements. Students learn to convert between these bases for streams containing moisture commonly used in combustion and drying.,https://learncheme.com/quiz-yourself/interactive-modules/wet-and-dry-basis/wet-and-dry-basis-introduction/,,,
Combustion Reactions,Covers material balances for combustion reactions. Students learn to calculate flue gas compositions air-to-fuel ratios and percent excess air for combustion processes.,https://learncheme.com/quiz-yourself/interactive-modules/combustion-reactions/combustion-reactions-introduction/,,,
Ideal Gas Law,Introduces the ideal gas law and its applications. Students learn to use PV=nRT to relate pressure volume temperature and moles for ideal gas systems.,https://learncheme.com/quiz-yourself/interactive-modules/ideal-gas-law/ideal-gas-law-introduction/,,,
Equations of State,Covers cubic equations of state such as van der Waals Redlich-Kwong and Peng-Robinson. Students learn to calculate PVT properties of real gases and liquids.,https://learncheme.com/quiz-yourself/interactive-modules/equations-of-state/equations-of-state-eos-intro/,,,
Lever Rule,Explains the lever rule for determining phase compositions and fractions. Students learn to read two-phase regions on phase diagrams and calculate vapor and liquid fractions.,https://learncheme.com/quiz-yourself/interactive-modules/lever-rule/lever-rule-introduction/,,,
Single-Component Phase Equilibrium,Covers phase diagrams and equilibrium conditions for a single component. Students learn to identify phases and locate triple and critical points.,https://learncheme.com/quiz-yourself/interactive-modules/single-component-phase-diagrams/single-component-phase-diagrams-introduction/,,,
Clapeyron Clausius-Clapeyron and Antoine Equations,Explains the Clapeyron Clausius-Clapeyron and Antoine equations for vapor pressure. Students learn to estimate vapor pressure as a function of temperature.,https://learncheme.com/quiz-yourself/interactive-modules/clausius-clapeyron-equation/clapeyron-clausius-clapeyron-and-antoine-equations-introduction/,,,
Raoults Law and VLE,Covers vapor-liquid equilibrium using Raoults Law for ideal mixtures. Students learn to construct Pxy and Txy diagrams and solve bubble and dew point problems.,https://learncheme.com/quiz-yourself/interactive-modules/raoults-law-and-vle-intro/,,,
Solids in Solution and Colligative Properties,Explains behavior of solids dissolved in liquids and colligative properties. Students learn about boiling point elevation freezing point depression and osmotic pressure.,https://learncheme.com/quiz-yourself/interactive-modules/solids-in-solution-and-colligative-properties/solids-in-solution-and-colligative-properties-introduction/,,,
Ternary Phase Diagrams,Covers three-component phase diagrams for liquid-liquid and liquid-solid systems. Students learn to read ternary diagrams and determine compositions in multi-phase regions.,https://learncheme.com/quiz-yourself/interactive-modules/ternary-phase-diagrams/ternary-phase-diagrams-introduction/,,,
Water-Air VLE and Psychrometric Chart,Covers vapor-liquid equilibrium for water-air mixtures and the psychrometric chart. Students learn to determine humidity dew point and enthalpy of moist air streams.,https://learncheme.com/quiz-yourself/interactive-modules/humidity-and-water-air-vle-psychrometric-chart/humidity-and-water-air-vle-introduction/,,,
Adsorption,Explains adsorption of gases and liquids onto solid surfaces. Students learn Langmuir and Freundlich isotherm models and their application in separation processes.,https://learncheme.com/quiz-yourself/interactive-modules/adsorption/adsorption-introduction/,,,
State Functions,Introduces state functions and path-independent thermodynamic properties. Students learn to distinguish state functions from path functions.,https://learncheme.com/quiz-yourself/interactive-modules/state-functions/state-functions-introduction/,,,
Steam Tables,Covers the use of steam tables to find thermodynamic properties of water. Students learn to read saturated and superheated steam tables for enthalpy entropy and specific volume.,https://learncheme.com/quiz-yourself/interactive-modules/steam-tables/steam-tables-introduction/,,,
Mechanical Energy Balance,Covers the mechanical energy balance including the Bernoulli equation with friction. Students learn to apply it to piping systems with pumps turbines and frictional losses.,https://learncheme.com/quiz-yourself/interactive-modules/mechanical-energy-balance/mechanical-energy-balance-introduction/,,,
Heat Capacities,Explains heat capacities for gases liquids and solids. Students learn to use heat capacity correlations to calculate enthalpy and internal energy changes.,https://learncheme.com/quiz-yourself/interactive-modules/heat-capacities/heat-capacities-introduction/,,,
Energy Balances with Phase Changes,Covers energy balances for processes involving phase changes. Students learn to account for latent heats of vaporization and fusion in enthalpy calculations.,https://learncheme.com/quiz-yourself/interactive-modules/energy-balances-with-phase-changes/energy-balances-with-phase-changes-introduction/,,,
Flash Separations,Explains flash drum calculations for vapor-liquid separation. Students learn to solve Rachford-Rice equations to find vapor fraction and equilibrium compositions.,https://learncheme.com/quiz-yourself/interactive-modules/flash-separations/flash-separations-introduction/,,,
Heats of Reaction,Covers standard heats of reaction and Hess's Law. Students learn to calculate reaction enthalpies using heats of formation and apply them to reactor energy balances.,https://learncheme.com/quiz-yourself/interactive-modules/heats-of-reaction/heats-of-reaction-introduction/,,,
Energy Balances with Reaction,Covers energy balances for reactors with chemical reactions. Students learn to account for heat of reaction alongside sensible heat changes in reactive systems.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/energy-balances-with-reaction/energy-balances-with-reaction-intro/,,,
Adiabatic Flame Temperature,Explains adiabatic flame temperature calculations for combustion. Students learn to find the maximum temperature reached when a fuel burns with no heat loss.,https://learncheme.com/quiz-yourself/interactive-modules/adiabatic-flame-temperature/adiabatic-flame-temperature-introduction/,,,
Introduction to First Law Closed Systems,Introduces the first law of thermodynamics for closed systems. Students learn to apply energy conservation to piston-cylinder and rigid-vessel problems.,https://learncheme.com/quiz-yourself/interactive-modules/introduction-to-first-law-closed-systems/introduction-to-first-law-closed-systems-introduction/,,,
Buoyancy,Covers buoyancy forces on submerged and floating objects. Students learn to apply Archimedes principle to determine buoyant force and object equilibrium in fluids.,https://learncheme.com/quiz-yourself/interactive-modules/buoyancy/buoyancy-introduction/,,,
Properties of Fluids,Explains key physical properties of fluids including density viscosity and surface tension. Students learn to identify and use these properties in fluid mechanics problems.,https://learncheme.com/quiz-yourself/interactive-modules/properties-of-fluids/properties-of-fluids-introduction/,,,
Hydrostatic Pressure,Covers pressure variation in static fluids. Students learn to apply the hydrostatic equation to calculate pressures at various depths in liquid systems.,https://learncheme.com/quiz-yourself/interactive-modules/hydrostatic-pressure/hydrostatic-pressure-introduction/,,,
Submerged Gates,Explains forces and moments on submerged flat gates and surfaces. Students learn to find the resultant hydrostatic force and its point of application.,https://learncheme.com/quiz-yourself/interactive-modules/submerged-gates/submerged-gates-introduction/,,,
Bernoullis Equation,Covers Bernoullis equation for frictionless flow. Students learn to apply energy conservation along a streamline to relate pressure velocity and elevation in fluid flow.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/bernoullis-equation/bernoullis-equation-introduction/,,,
Viscosity and Shear Stress,Explains Newtons law of viscosity and shear stress in fluids. Students learn to relate shear stress to velocity gradients and distinguish Newtonian from non-Newtonian fluids.,https://learncheme.com/quiz-yourself/interactive-modules/viscosity-and-shear-stress/viscosity-and-shear-stress-introduction/,,,
Conservation of Mass,Covers the continuity equation for conservation of mass in fluid flow. Students learn to apply mass balance to steady and unsteady flow in pipes and open channels.,https://learncheme.com/quiz-yourself/interactive-self-study-modules/conservation-of-mass/conservation-of-mass-introduction/,,,
Introduction to Pipe Flow,Introduces laminar and turbulent pipe flow concepts. Students learn to calculate Reynolds number and identify flow regimes in circular pipes.,https://learncheme.com/quiz-yourself/interactive-modules/introduction-to-pipe-flow/introduction-to-pipe-flow-introduction/,,,
